Supercharger,Street Address,City,State,city_state,Zip,Country,Stalls,GPS,Elev,Status,Open Date,Tesla,Thread
"Bandon, OR",44 Michigan Ave NE,Bandon,OR,Bandon_OR,97411,USA,8,"43.120781, -124.39905",22,Open,04-Nov-16,SC,thread
"Mount Vernon, IL",222 Potomac Blvd,Mount Vernon,IL,Mount Vernon_IL,,USA,8,"38.316292, -88.955923",146,Open,27-Oct-16,SC,thread
"Davenport, IA",North Ridge Shopping Center 4064 E 53rd St,Davenport,IA,Davenport_IA,,USA,8,"41.575888, -90.513526",219,Open,21-Oct-16,SC,thread
"West Des Moines, IA",1725 Jordan Creek Parkway,West Des Moines,IA,West Des Moines_IA,50266,USA,8,"41.599019, -93.806336",300,Open,21-Oct-16,SC,thread
"Buena Park, CA",6692 Auto Center Dr,Buena Park,CA,Buena Park_CA,90621,USA,8,"33.863379, -117.99103",25,Open,20-Oct-16,SC,thread
"Jackson, WY",1155 S. Highway 89,Jackson,WY,Jackson_WY,83001,USA,8,"43.463995, -110.794875","1,868",Open,19-Oct-16,SC,thread
"Childress, TX",1300 Avenue F NW,Childress,TX,Childress_TX,79201,USA,9,"34.432426, -100.218676",580,Open,19-Oct-16,SC,forum
"Kingston, NY",640 Washington Ave,Kingston,NY,Kingston_NY,12401,USA,8,"41.941916, -74.027208",47,Open,18-Oct-16,SC,forum
"Bloomsburg, PA",11 Ricky Ave,Bloomsburg,PA,Bloomsburg_PA,17815,USA,8,"41.016143, -76.492616",197,Open,14-Oct-16,SC,thread
"Channelview, TX",16311 East Fwy,Channelview,TX,Channelview_TX,77530,USA,8,"29.784665, -95.110612",7,Open,10-Oct-16,SC,forum
"Meridian, MS",1210 Bonita Lakes Drive,Meridian,MS,Meridian_MS,39301,USA,8,"32.35748, -88.667805",122,Open,07-Oct-16,SC,thread
"North Aurora, IL",151 Hansen Blvd,North Aurora,IL,North Aurora_IL,60542,USA,8,"41.802949, -88.370249",212,Open,05-Oct-16,SC,thread
"Berlin, VT",213 Payne Turnpike,Berlin,VT,Berlin_VT,5602,USA,8,"44.212532, -72.576462",299,Open,03-Oct-16,SC,thread
"Huntsville, ON",70 King William St,Huntsville,ON,Huntsville_ON,,Canada,9,"45.333611, -79.206703",300,Open,30-Sep-16,SC,thread
"Three Rivers, TX","2645 S. Hwy 37, I-37 Exit 72",Three Rivers,TX,Three Rivers_TX,78071,USA,8,"28.521614, -98.185829",51,Open,30-Sep-16,SC,thread
"Bakersfield, CA","29541 Stockdale Hy,",Bakersfield,CA,Bakersfield_CA,93314,USA,10,"35.354643, -119.331607",93,Open,29-Sep-16,SC,thread
"Coralville, IA",1914 8th St,Coralville,IA,Coralville_IA,,USA,8,"41.680372, -91.591467",205,Open,29-Sep-16,SC,thread
"Rolla, MO",1705 Martin Spring Dr,Rolla,MO,Rolla_MO,65401,USA,8,"37.940064, -91.801658",293,Open,27-Sep-16,SC,thread
"Bay City, MI",2980 Wilder Road,Bay City,MI,Bay City_MI,48706,USA,8,"43.622754, -83.935306",181,Open,27-Sep-16,SC,thread
"Laurel, MD",14700 Baltimore Ave,Laurel,MD,Laurel_MD,20707,USA,8,"39.095382, -76.858319",55,Open,23-Sep-16,SC,thread
"Rivière du Loup, QC",311 boul. Hôtel-de-Ville,Rivière du Loup,QC,Rivière du Loup_QC,G5R 5S4,Canada,8,"47.82017, -69.558776",40,Open,22-Sep-16,SC,thread
"Monroe, LA",4915 Pecanland Mall Dr,Monroe,LA,Monroe_LA,,USA,8,"32.496251, -92.056057",21,Open,16-Sep-16,SC,thread
"Page, AZ",600 Clubhouse Dr,Page,AZ,Page_AZ,86040,USA,8,"36.924902, -111.468041","1,239",Open,10-Sep-16,SC,thread
"Crescent City, CA",1000 Front St,Crescent City,CA,Crescent City_CA,95531,USA,6,"41.752393, -124.1944",4,Open,08-Sep-16,SC,thread
"Parry Sound, ON",292 Louisa Street,Parry Sound,ON,Parry Sound_ON,,Canada,8,"45.345576, -80.005751",228,Open,04-Sep-16,SC,thread
